,path,label
0,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0103.mp3,0
1,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0103_aug1(1).mp3,0
2,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0104.mp3,0
3,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0104_aug1(1).mp3,0
4,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0117.mp3,0
5,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0117_aug1(1).mp3,0
6,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0128.mp3,0
7,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0128_aug1(1).mp3,0
8,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0149.mp3,0
9,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0149_aug1(1).mp3,0
10,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0150.mp3,0
11,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0150_aug1(1).mp3,0
12,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0151.mp3,0
13,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0151_aug1(1).mp3,0
14,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0155.mp3,0
15,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0155_aug1(1).mp3,0
16,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0156.mp3,0
17,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0156_aug1(1).mp3,0
18,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0162.mp3,0
19,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0162_aug1(1).mp3,0
20,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0169.mp3,0
21,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0169_aug1(1).mp3,0
22,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0171.mp3,0
23,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll01716.mp3,0
24,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll01716_aug1(1).mp3,0
25,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0171_aug1(1).mp3,0
26,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0172.mp3,0
27,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll01728.mp3,0
28,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll01728_aug1(1).mp3,0
29,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0172_aug1(1).mp3,0
30,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0174.mp3,0
31,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0174_aug1(1).mp3,0
32,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0175.mp3,0
33,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0175_aug1(1).mp3,0
34,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0177.mp3,0
35,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0177_aug1(1).mp3,0
36,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0191.mp3,0
37,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0191_aug1(1).mp3,0
38,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0212.mp3,0
39,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0212_aug1(1).mp3,0
40,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0215.mp3,0
41,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0215_aug1(1).mp3,0
42,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0217.mp3,0
43,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0217_aug1(1).mp3,0
44,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0227.mp3,0
45,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll0227_aug1(1).mp3,0
46,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll02418.mp3,0
47,D:/DATASET COLLECTION/AUDIO_DATASET/CATMood DATASET/NAYA_DATA_AUG1X/Angry/car_extcoll02418_aug1(1).mp3,0
